borrower_id,loan_amount,loan_date,business_type,business_location,years_in_business,repayment_history,mobile_money_activity_score
PEZ10139,1706.24,2024-03-09,retail_shop,Nyeri,0.8,on_time,60.0
PEZ10140,20526.72,2020-12-06,food_vendor,Malindi,5.6,late,66.0
PEZ10141,18337.41,2020-10-25,tailoring,Nairobi,,late,25.6
PEZ10142,15259.26,2023-06-02,transport,Garissa,3.7,late,69.4
PEZ10143,12665.53,2023-07-30,agro_dealer,Nyeri,1.3,late,61.6
PEZ10144,7476.98,2023-10-19,tailoring,Kitale,11.1,on_time,
PEZ10145,2856.96,2022-05-18,hardware_store,Kisumu,1.7,late,15.2
PEZ10146,1176.52,2021-04-30,tailoring,Kitale,4.4,on_time,63.5
PEZ10147,16537.73,2024-08-26,agro_dealer,Nyeri,1.7,defaulted,59.7
PEZ10148,4091.1,2023-05-26,agro_dealer,Eldoret,,on_time,31.3
PEZ10149,1507.46,2021-01-24,pharmacy,Eldoret,2.5,late,60.0
PEZ10150,3623.56,2023-07-10,mobile_money_agent,Eldoret,4.5,on_time,17.2
PEZ10151,6865.59,2020-07-03,food_vendor,Nairobi,1.6,on_time,27.8
PEZ10152,4171.8,2022-01-19,tailoring,Thika,6.8,on_time,10.7
PEZ10153,4829.35,2022-09-13,hardware_store,Garissa,14.7,on_time,43.6
PEZ10154,6849.19,2021-04-07,tailoring,Thika,1.1,on_time,47.7
PEZ10155,11425.68,2022-07-20,,Garissa,7.0,on_time,68.5
PEZ10156,20698.95,2021-04-23,electronics_repair,Eldoret,1.3,late,15.0
PEZ10157,13953.69,2023-08-19,pharmacy,Nairobi,0.8,on_time,32.8
PEZ10158,2304.59,2020-03-17,food_vendor,Kitale,2.9,late,92.7
PEZ10159,500.0,2022-01-29,tailoring,Kitale,4.4,on_time,32.6
PEZ10160,2612.82,2024-09-03,hardware_store,Malindi,3.2,on_time,16.2
PEZ10161,12156.48,2022-06-27,pharmacy,Nyeri,1.4,on_time,48.8
PEZ10162,37484.73,2023-08-13,pharmacy,Nakuru,5.9,on_time,45.4
PEZ10163,12311.05,2022-07-20,electronics_repair,Nairobi,1.0,on_time,60.5
PEZ10164,1827.32,2021-05-13,,Nakuru,2.6,on_time,43.1
PEZ10165,10578.52,2024-07-23,salon_barber,Nyeri,3.5,on_time,86.0
PEZ10166,1916.98,2020-10-23,transport,Thika,2.8,late,24.2
PEZ10167,5636.64,2020-01-31,salon_barber,Garissa,0.8,defaulted,45.8
PEZ10168,9207.77,2022-05-12,electronics_repair,Nakuru,3.1,late,
PEZ10169,7107.9,2020-08-11,hardware_store,Mombasa,11.4,on_time,67.0
PEZ10170,2368.78,2023-09-11,pharmacy,Garissa,4.9,on_time,13.0
PEZ10171,30047.77,2022-04-02,hardware_store,Eldoret,5.3,on_time,28.8
PEZ10172,2374.97,2023-05-30,agro_dealer,Mombasa,9.5,late,70.6
PEZ10173,8727.26,2022-02-19,salon_barber,Mombasa,1.5,on_time,68.8
PEZ10174,7872.06,2020-08-22,mobile_money_agent,Garissa,1.9,on_time,36.6
PEZ10175,3151.49,2022-03-27,hardware_store,Nakuru,6.6,on_time,49.8
PEZ10176,13245.39,2023-11-07,agro_dealer,Mombasa,0.6,on_time,35.5
PEZ10177,3862.88,2022-02-02,pharmacy,Mombasa,0.9,on_time,71.7
PEZ10178,21933.1,2022-04-21,salon_barber,Garissa,3.1,on_time,62.8
PEZ10179,22550.7,2021-12-21,electronics_repair,Malindi,0.5,on_time,61.1
PEZ10180,4577.9,2021-12-18,food_vendor,Nyeri,6.4,on_time,27.4
PEZ10181,3373.42,2023-02-22,hardware_store,Thika,1.3,on_time,81.2
PEZ10182,3897.63,2023-11-21,mobile_money_agent,Nyeri,1.8,on_time,54.3
PEZ10183,10673.41,2020-01-13,tailoring,Nairobi,3.0,on_time,55.8
PEZ10184,11590.32,2020-03-03,salon_barber,Kisumu,4.2,on_time,13.7
PEZ10185,9086.39,2024-01-17,food_vendor,Garissa,4.3,on_time,22.6
PEZ10186,71862.3,2020-04-11,electronics_repair,Nyeri,5.6,on_time,59.0
PEZ10187,157158.53,2021-03-17,food_vendor,Eldoret,0.8,on_time,38.0
PEZ10188,14246.65,2022-12-15,hardware_store,Mombasa,4.3,on_time,72.2
PEZ10189,1255.98,2021-03-08,tailoring,Nairobi,0.7,late,69.7
PEZ10190,59978.24,2020-09-21,salon_barber,Eldoret,1.9,on_time,68.0
PEZ10191,13806.02,2020-05-27,agro_dealer,Garissa,2.5,on_time,23.8
PEZ10192,4082.19,2022-05-29,agro_dealer,Nairobi,3.5,late,18.7
PEZ10193,6927.61,2021-10-27,mobile_money_agent,Malindi,1.1,defaulted,61.7
PEZ10194,11150.32,2020-08-04,salon_barber,Nyeri,2.7,on_time,85.7
PEZ10195,1709.75,2021-11-26,transport,Malindi,11.0,on_time,85.0
PEZ10196,15505.1,2021-02-01,transport,Thika,0.7,on_time,39.9
PEZ10197,27515.39,2020-10-26,electronics_repair,Thika,4.2,late,12.7
PEZ10198,5843.7,2024-05-01,tailoring,Nakuru,6.1,defaulted,35.5
PEZ10199,2878.56,2023-03-02,pharmacy,Kitale,0.7,on_time,41.2
PEZ10200,9314.64,2022-06-24,mobile_money_agent,Thika,1.6,defaulted,37.7
PEZ10201,152932.64,2020-03-18,tailoring,Eldoret,6.6,on_time,93.6
PEZ10202,10684.71,2023-06-13,retail_shop,Thika,1.0,on_time,21.5
PEZ10203,3238.42,2020-03-25,mobile_money_agent,Garissa,2.3,on_time,27.9
PEZ10204,5172.33,2020-05-06,pharmacy,Nyeri,9.2,late,21.8
PEZ10205,15810.16,2023-08-16,pharmacy,Mombasa,8.5,late,73.7
PEZ10206,22140.03,2020-11-21,salon_barber,Nairobi,2.0,on_time,29.2
PEZ10207,11562.83,2020-04-17,electronics_repair,Thika,5.1,on_time,35.2
PEZ10208,29429.61,2024-10-10,electronics_repair,Mombasa,1.7,late,57.6
PEZ10209,1565.97,2023-09-05,mobile_money_agent,Kisumu,0.9,on_time,72.9
PEZ10210,9601.68,2024-06-09,agro_dealer,Kisumu,2.0,on_time,21.5
PEZ10211,5144.87,2022-12-14,electronics_repair,Kisumu,3.8,on_time,49.6
PEZ10212,1307.58,2021-11-30,food_vendor,Malindi,1.8,on_time,
PEZ10213,6293.76,2020-07-26,pharmacy,Nakuru,3.3,on_time,51.7
PEZ10214,14087.92,2024-04-18,hardware_store,Garissa,8.4,on_time,60.8
PEZ10215,1197.39,2023-07-03,mobile_money_agent,Kisumu,2.5,on_time,52.9
PEZ10216,1657.7,2023-06-04,salon_barber,Kitale,,on_time,69.0
PEZ10217,9513.59,2024-09-06,tailoring,Kitale,1.1,on_time,22.0
PEZ10218,7516.5,2024-05-12,transport,Thika,1.4,on_time,14.7
PEZ10219,6100.09,2020-10-10,agro_dealer,Garissa,0.6,on_time,55.9
PEZ10220,5997.49,2024-09-28,tailoring,Nairobi,1.2,late,38.1
PEZ10221,49989.74,2020-10-28,hardware_store,Mombasa,1.8,on_time,75.5
PEZ10222,2350.02,2020-02-24,agro_dealer,Mombasa,0.8,late,11.1
PEZ10223,27572.78,2021-04-04,agro_dealer,Nairobi,4.5,late,35.0
PEZ10224,1502.2,2020-10-08,retail_shop,Thika,2.9,on_time,52.3
PEZ10225,21512.38,2022-08-18,retail_shop,Eldoret,13.7,on_time,72.6
PEZ10226,4749.77,2023-01-28,pharmacy,Nyeri,,on_time,62.9
PEZ10227,3793.18,2021-05-03,mobile_money_agent,Garissa,1.5,late,40.3
PEZ10228,9032.12,2020-02-03,agro_dealer,Nyeri,5.3,on_time,33.6
PEZ10229,56757.49,2021-05-07,hardware_store,Nyeri,2.8,on_time,17.1
PEZ10230,3008.83,2022-12-13,mobile_money_agent,Malindi,2.4,on_time,65.8
PEZ10231,5962.35,2020-03-30,,Garissa,2.8,on_time,36.0
PEZ10232,17678.03,2024-02-10,agro_dealer,Thika,3.8,late,
PEZ10233,13409.73,2024-07-24,food_vendor,Nyeri,2.7,on_time,30.7
PEZ10234,3328.42,2024-01-06,salon_barber,Kitale,4.2,late,80.1
PEZ10235,69964.49,2021-09-27,pharmacy,Nairobi,0.8,defaulted,
PEZ10236,8090.53,2021-01-26,hardware_store,Malindi,2.7,on_time,22.7
PEZ10237,14306.1,2024-06-25,tailoring,Thika,1.2,late,
PEZ10238,5692.95,2021-01-17,electronics_repair,Malindi,1.6,on_time,82.2
PEZ10239,95308.82,2022-05-19,pharmacy,Kitale,1.8,defaulted,47.7
PEZ10240,8638.26,2020-06-12,food_vendor,Malindi,4.8,on_time,94.9
PEZ10241,500.0,2021-12-20,electronics_repair,Eldoret,1.9,on_time,58.1
PEZ10242,2247.34,2023-08-02,pharmacy,Nairobi,0.8,on_time,45.7
PEZ10243,4611.7,2020-11-23,retail_shop,Mombasa,1.0,on_time,36.9
PEZ10244,4324.59,2021-04-28,retail_shop,Kisumu,0.9,late,36.3
PEZ10245,2852.72,2022-01-29,electronics_repair,Thika,2.6,on_time,10.5
PEZ10246,2512.31,2023-08-23,electronics_repair,Kitale,7.0,on_time,56.3
PEZ10247,5477.67,2023-02-24,tailoring,Nakuru,5.8,on_time,
PEZ10248,2647.49,2023-11-22,food_vendor,Eldoret,1.4,on_time,47.6
PEZ10249,2457.6,2022-06-30,pharmacy,Nakuru,0.5,on_time,29.6
PEZ10250,5192.93,2021-09-06,food_vendor,Thika,1.7,on_time,93.6
PEZ10251,25395.48,2020-10-11,salon_barber,Kisumu,2.3,late,51.4
PEZ10252,20360.45,2023-02-03,transport,Kitale,,on_time,27.8
PEZ10253,2461.95,2022-09-07,salon_barber,Nyeri,3.7,on_time,41.2
PEZ10254,8866.57,2023-08-08,hardware_store,Malindi,4.5,on_time,55.7
PEZ10255,15998.74,2023-02-03,food_vendor,Kitale,4.3,on_time,17.3
PEZ10256,3992.4,2024-08-29,mobile_money_agent,Kisumu,1.1,on_time,64.0
PEZ10257,10734.09,2021-12-09,food_vendor,Garissa,1.4,on_time,39.2
PEZ10258,8421.91,2020-09-13,hardware_store,Eldoret,5.0,on_time,41.8
PEZ10259,3450.46,2020-11-11,tailoring,Nyeri,5.3,on_time,45.3
PEZ10260,2250.04,2024-08-17,salon_barber,Nyeri,1.7,on_time,68.3
PEZ10261,10001.3,2024-04-19,retail_shop,Mombasa,,on_time,57.6
PEZ10262,10571.3,2023-08-07,mobile_money_agent,Malindi,3.6,on_time,
PEZ10263,19704.43,2023-11-11,tailoring,Kitale,8.0,on_time,78.5
PEZ10264,8352.46,2021-10-02,retail_shop,Kisumu,3.7,on_time,56.9
PEZ10265,8353.86,2021-10-15,electronics_repair,Thika,0.6,on_time,49.8
PEZ10266,23752.26,2022-02-25,transport,Kitale,6.0,defaulted,5.4
PEZ10267,4348.65,2023-03-29,mobile_money_agent,Malindi,1.6,on_time,66.9
PEZ10268,3207.63,2021-09-23,electronics_repair,Nakuru,2.4,on_time,44.2
PEZ10269,16644.54,2023-04-09,pharmacy,Nairobi,0.8,late,77.0
PEZ10270,34710.96,2022-08-21,electronics_repair,Nairobi,1.1,on_time,67.8
PEZ10271,3578.91,2022-01-19,tailoring,Garissa,,late,40.2
PEZ10272,26018.12,2021-08-14,agro_dealer,Thika,,late,6.4
PEZ10273,6026.87,2023-10-25,food_vendor,Malindi,0.8,on_time,13.7
PEZ10274,4338.18,2023-02-16,mobile_money_agent,Mombasa,3.1,on_time,49.7
PEZ10275,4233.29,2020-10-07,electronics_repair,Kisumu,5.7,defaulted,45.6
PEZ10276,3486.8,2023-06-09,electronics_repair,Kitale,5.2,late,1.3
PEZ10277,14425.58,2022-11-04,electronics_repair,Kisumu,1.2,on_time,43.8
PEZ10278,26866.66,2021-11-09,hardware_store,Garissa,3.5,defaulted,38.2
PEZ10279,2503.71,2020-02-24,food_vendor,Malindi,3.2,on_time,32.7
PEZ10280,22764.64,2021-04-11,mobile_money_agent,Kitale,0.6,on_time,27.2
PEZ10281,32548.93,2022-02-17,retail_shop,Nyeri,6.0,on_time,49.9
PEZ10282,19933.9,2021-10-04,salon_barber,Nakuru,,defaulted,61.4
PEZ10283,4566.77,2022-08-23,agro_dealer,Kisumu,1.0,on_time,56.4
PEZ10284,3497.2,2022-02-10,retail_shop,Kisumu,9.9,on_time,47.9
PEZ10285,7990.28,2024-11-11,electronics_repair,Kisumu,4.8,on_time,40.6
PEZ10286,10374.2,2021-09-01,tailoring,Nyeri,7.6,on_time,75.3
PEZ10287,4429.26,2024-06-16,tailoring,Nakuru,3.0,on_time,53.8
PEZ10288,8777.91,2024-08-03,tailoring,Eldoret,4.4,on_time,19.4
PEZ10289,4713.4,2022-06-24,electronics_repair,Kisumu,1.8,on_time,64.8
PEZ10290,9436.26,2021-07-10,tailoring,Kitale,6.2,on_time,71.9
PEZ10291,5175.13,2022-12-23,salon_barber,Mombasa,2.9,on_time,65.9
PEZ10292,8723.45,2024-04-27,transport,Nakuru,2.1,late,86.6
PEZ10293,3987.69,2024-12-08,salon_barber,Nairobi,5.4,on_time,37.7
PEZ10294,8910.57,2020-05-01,pharmacy,Kitale,1.7,on_time,72.7
PEZ10295,7623.24,2020-12-24,food_vendor,Nyeri,6.9,defaulted,34.0
PEZ10296,8059.47,2021-01-16,agro_dealer,Kisumu,7.7,on_time,
PEZ10297,1298.85,2021-08-05,tailoring,Nairobi,,on_time,79.4
PEZ10298,13859.74,2021-07-12,pharmacy,Garissa,5.2,on_time,34.3
PEZ10299,18653.84,2020-01-29,transport,Mombasa,7.9,on_time,22.7
PEZ10300,4838.13,2022-04-10,electronics_repair,Eldoret,7.6,on_time,52.6
PEZ10301,9813.57,2022-09-04,agro_dealer,Garissa,3.7,on_time,71.4
PEZ10302,7746.32,2021-11-06,electronics_repair,Nakuru,,late,49.6
PEZ10303,48675.09,2020-05-07,tailoring,Nyeri,3.5,on_time,
PEZ10304,14712.35,2023-12-11,food_vendor,Kitale,7.1,on_time,70.4
PEZ10305,6867.81,2020-09-30,tailoring,Mombasa,5.6,late,70.9
PEZ10306,21866.01,2022-08-22,pharmacy,Kisumu,1.8,on_time,78.3
PEZ10307,17388.97,2022-12-12,hardware_store,Nakuru,4.2,on_time,46.6
PEZ10308,27587.89,2023-01-26,pharmacy,Garissa,3.4,late,71.6
PEZ10309,5420.45,2020-08-26,hardware_store,Nakuru,3.5,on_time,72.3
PEZ10310,22304.55,2020-09-27,transport,Nyeri,5.9,defaulted,37.0
PEZ10311,16707.46,2024-01-21,hardware_store,Malindi,1.6,on_time,87.6
PEZ10312,15527.72,2022-05-17,retail_shop,Malindi,3.8,defaulted,
PEZ10313,10435.17,2022-08-24,electronics_repair,Mombasa,0.9,on_time,71.5
PEZ10314,12353.37,2023-08-15,retail_shop,Eldoret,0.9,on_time,53.2
PEZ10315,19705.69,2022-02-08,agro_dealer,Thika,1.5,on_time,47.8
PEZ10316,4248.11,2022-03-15,food_vendor,Garissa,1.5,on_time,33.4
PEZ10317,23158.35,2021-09-03,,Kisumu,0.8,defaulted,14.7
PEZ10318,19913.15,2020-11-13,pharmacy,Garissa,0.6,on_time,25.5
PEZ10319,3890.19,2022-05-08,tailoring,Nakuru,7.2,on_time,74.5
PEZ10320,15397.04,2023-10-08,mobile_money_agent,Nairobi,5.8,on_time,45.7
PEZ10321,35385.45,2024-11-03,retail_shop,Nakuru,6.8,late,24.7
PEZ10322,2662.3,2021-10-15,retail_shop,Kisumu,3.3,on_time,17.0
PEZ10323,6269.25,2023-09-14,mobile_money_agent,Nyeri,3.2,on_time,18.8
PEZ10324,7291.54,2024-02-14,hardware_store,Nakuru,3.7,on_time,63.0
PEZ10325,1024.69,2022-02-19,salon_barber,Malindi,1.8,on_time,
PEZ10326,23968.11,2023-01-06,hardware_store,Thika,3.3,late,44.6
PEZ10327,6764.95,2020-04-28,pharmacy,Nakuru,3.0,on_time,31.8
PEZ10328,7954.09,2021-02-20,hardware_store,Malindi,0.8,late,27.3
PEZ10329,4217.94,2021-01-25,electronics_repair,Mombasa,4.1,on_time,74.3
PEZ10330,20358.38,2024-07-05,retail_shop,Eldoret,2.1,late,67.4
PEZ10331,4381.85,2020-02-01,mobile_money_agent,Garissa,9.8,late,36.3
PEZ10332,37100.97,2021-05-11,transport,Nakuru,0.9,on_time,85.9
